DeviceName,Serial,Rule,TimeGenerated,TimeReceived,Type,Subtype,From,To,Source,SourceUser,SourcePort,SourceCountry,Destination,DestinationPort,DestinationCountry,Application,Action,NAT,NATSourceIP,NATSourcePort,NATDestinationIP,NATDestinationPort,Packets,PacketsSent,PacketsReceived,Bytes,BytesSent,BytesReceived,Protocol,SessionID,ParentSessionID,SessionEndReason,RepeatCount,Start,Elapsed,Category,ThreatCategory,ThreatName,ThreatID,Misc,Severity,Direction,InboundInterface,OutboundInterface,ID,Domain,ReceiveTime,SequenceNumber,ActionFlags,ConfigVersion,Vsys,Logset,Flags,Pcap,PcapID,Flagged,Proxy,URLDenied,CaptivePortal,NonStandardDestinationPort,Transaction,PBFClient2Server,PBFServer2Client,TemporaryMatch,SymmetricReturn,SSLDecryptMirror,CredentialDetected,MPTCP,TunnelInspected,ReconExcluded,TunnelType,TPadding,CPadding,TunnelIMSI,VsysID,ReportID,URLIndex,HTTPMethod,XForwardedFor,Referer,UserAgent,SignatureFlags,ContentVersion,FileDigest,Filetype,Sender,Recipient,Subject,Cloud,Padding,ActionSource,TunnelID,IMSI,MonitorTag,IMEI,DeviceGroupHierarchy1,DeviceGroupHierarchy2,DeviceGroupHierarchy3,DeviceGroupHierarchy4,Host,Command,Admin,Client,Result,Path,BeforeChangePreview,AfterChangePreview,FullPath,EventID,Module,Description
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,35255429,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382529,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,,65238,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,63,31,32,18107,11221,6886,tcp,33900111,0,tcp-rst-from-client,1,6/14/2018 18:53,49,financial-services,,,0,,,,ae1,ae2,382530,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100053,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,user1,62860,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,55,27,28,17455,10809,6646,tcp,1816610,0,tcp-rst-from-client,1,6/14/2018 18:53,49,financial-services,,,0,,,,ae1,ae2,382531,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100053,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,,53641,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,688,344,344,265569,239597,25972,tcp,1606166,0,tcp-rst-from-client,1,6/14/2018 18:53,78,financial-services,,,0,,,,ae1,ae2,382532,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100053,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,,57237,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,64,31,33,18338,11392,6946,tcp,843060,0,tcp-rst-from-client,1,6/14/2018 18:53,49,financial-services,,,0,,,,ae1,ae2,382533,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100053,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,user2,49168,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,91,45,46,20324,12592,7732,tcp,1944236,0,tcp-rst-from-client,1,6/14/2018 18:53,48,financial-services,,,0,,,,ae1,ae2,382534,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100053,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,,54510,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,135,67,68,30390,21327,9063,tcp,305706,0,tcp-rst-from-client,1,6/14/2018 18:51,198,financial-services,,,0,,,,ae1,ae2,382535,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100053,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,anonymous,59208,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,20,10,10,6417,1066,5351,tcp,541052,0,tcp-rst-from-client,1,6/14/2018 18:54,1,financial-services,,,0,,,,ae1,ae2,382536,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x10001c,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,user3,61415,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,21,11,10,6476,1125,5351,tcp,35042423,0,tcp-rst-from-client,1,6/14/2018 18:54,2,financial-services,,,0,,,,ae1,ae2,382537,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x10001c,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,1401973,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382538,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
